対象日付,コード,銘柄名,株価換算係数,業種,セクター
2026/8/4,4902,コニカミノルタ,1,精密機器,技術
2026/8/4,4911,資生堂,1,化学,素材
2026/8/4,5019,出光興産,2,石油,素材
2026/8/4,5020,ＥＮＥＯＳホールディングス,1,石油,素材
2026/8/4,5101,横浜ゴム,0.5,ゴム,素材
2026/8/4,5108,ブリヂストン,2,ゴム,素材
2026/8/4,5201,ＡＧＣ,0.2,窯業,素材
2026/8/4,5214,日本電気硝子,0.3,窯業,素材
2026/8/4,5233,太平洋セメント,0.1,窯業,素材
2026/8/4,5301,東海カーボン,1,窯業,素材
2026/8/4,5332,ＴＯＴＯ,0.5,窯業,素材
2026/8/4,5333,ＮＧＫ,1,窯業,素材
2026/8/4,5401,日本製鉄,0.5,鉄鋼,素材
2026/8/4,5406,神戸製鋼所,0.1,鉄鋼,素材
2026/8/4,5411,ＪＦＥホールディングス,0.1,鉄鋼,素材
2026/8/4,543A,ＡＲＣＨＩＯＮ,1,自動車,技術
2026/8/4,5631,日本製鋼所,0.2,機械,資本財・その他
2026/8/4,5706,三井金属,0.1,非鉄・金属,素材
2026/8/4,5711,三菱マテリアル,0.1,非鉄・金属,素材
2026/8/4,5713,住友金属鉱山,0.5,非鉄・金属,素材
2026/8/4,5714,ＤＯＷＡホールディングス,0.2,非鉄・金属,素材
2026/8/4,5801,古河電気工業,1,非鉄・金属,素材
2026/8/4,5802,住友電気工業,4,非鉄・金属,素材
